1009,Corning 96 filter.rck,Corning plate with 96 filter wells,Cos_96_Filter.rck,Corning-Costar\\Cos_96_Filter.rck
1003,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,Cos_96_FL.rck,Corning-Costar\\Cos_96_FL.rck
1015,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,Cos_96_FL.rck,Corning-Costar\\Cos_96_FL.rck
1015,,,Cos_96_HalfArea.rck,Corning-Costar\\Cos_96_HalfArea.rck
1003,,,Cos_96_HalfArea.rck,Corning-Costar\\Cos_96_HalfArea.rck
1015,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1010,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1003,,,Cos_96_PCR.rck,Corning-Costar\\Cos_96_PCR.rck
1003,,,Cos_96_ProtCryst.rck,Corning-Costar\\Cos_96_ProtCryst.rck
1015,,,Cos_96_ProtCryst.rck,Corning-Costar\\Cos_96_ProtCryst.rck
1015,,,Cos_96_Rd.rck,Corning-Costar\\Cos_96_Rd.rck
1003,,,Cos_96_Rd.rck,Corning-Costar\\Cos_96_Rd.rck
1003,,,Cos_96_SpecOps.rck,Corning-Costar\\Cos_96_SpecOps.rck
1015,,,Cos_96_SpecOps.rck,Corning-Costar\\Cos_96_SpecOps.rck
1015,,,Cos_96_UV.rck,Corning-Costar\\Cos_96_UV.rck
1003,,,Cos_96_UV.rck,Corning-Costar\\Cos_96_UV.rck
1003,,,Cos_96_Vb.rck,Corning-Costar\\Cos_96_Vb.rck
1015,,,Cos_96_Vb.rck,Corning-Costar\\Cos_96_Vb.rck
1016,,,Dyn_96_Fl.rck,Dynex\\Dyn_96_Fl.rck
1003,,,Dyn_96_Fl.rck,Dynex\\Dyn_96_Fl.rck
1031,Eppendorf_96-well 2 mL DWP Lid,Universal lids used on growth plates,Eppendorf_96-well 2 mL DWP.lid,Eppendorf\\Eppendorf_96-well 2 mL DWP.lid
1029,Eppendorf_96-well 2 mL DWP,Eppindorf part number 951033405,Eppendorf_96-well 2 mL DWP.rck,Eppendorf\\Eppendorf_96-well 2 mL DWP.rck
1003,Eppendorf_96-well 2 mL DWP,Eppindorf part number 951033405,Eppendorf_96-well 2 mL DWP.rck,Eppendorf\\Eppendorf_96-well 2 mL DWP.rck
1031,Eppendorf_96-well DNA lo-bind elution plate lid,Agilent universal lid (202947-100),Eppendorf_96-well DNA lo-bind elution plate.lid,Eppendorf\\Eppendorf_96-well DNA lo-bind elution plate.lid
1029,Eppendorf_96-well DNA lo-bind elution plate with lid,Eppendorf 96-well DNA lo-bind PP V-bottom 350 uL/well plate (#0030603303),Eppendorf_96-well DNA lo-bind elution plate.rck,Eppendorf\\Eppendorf_96-well DNA lo-bind elution plate.rck
1031,Eppendorf_500 uL lo-bind elution plate lid,Agilent universal lid (202947-100),Eppendorf_96-well DNA lo-bind elution plate_500uL.lid,Eppendorf\\Eppendorf_96-well DNA lo-bind elution plate_500uL.lid
