PlateName,SourceBC,SourceWell,TargetBC,TargetWell,Volume
PCRPlate1,TBC03#1003242171,D11,TargetPlate,D1,5
PCRPlate1,TBC03#1003242171,E11,TargetPlate,E1,5
PCRPlate1,TBC03#1003242171,F11,TargetPlate,F1,5
PCRPlate1,TBC03#1003242171,G11,TargetPlate,G1,5
PCRPlate1,TBC03#1003242171,H11,TargetPlate,H1,5
PCRPlate1,TBC03#1003242171,A12,TargetPlate,A1,5
PCRPlate1,TBC03#1003242171,B12,TargetPlate,B1,5
PCRPlate1,TBC03#1003242171,C12,TargetPlate,C1,5
PCRPlate1,TBC03#1003242171,D12,TargetPlate,D1,5
PCRPlate1,TBC03#1003242171,E12,TargetPlate,E1,5
PCRPlate1,TBC03#1003242171,F12,TargetPlate,F1,5
PCRPlate1,TBC03#1003242171,G12,TargetPlate,G1,5
PCRPlate1,TBC03#1003242171,H12,TargetPlate,H1,5
PCRPlate2,TBC03#1003242172,A1,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B1,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C1,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D1,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E1,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F1,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G1,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H1,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A2,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B2,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C2,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D2,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E2,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F2,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G2,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H2,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A3,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B3,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C3,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D3,TargetPlate,D2,5
PCRPlate2,TBC03#1003242172,E3,TargetPlate,E2,5
PCRPlate2,TBC03#1003242172,F3,TargetPlate,F2,5
PCRPlate2,TBC03#1003242172,G3,TargetPlate,G2,5
PCRPlate2,TBC03#1003242172,H3,TargetPlate,H2,5
PCRPlate2,TBC03#1003242172,A4,TargetPlate,A2,5
PCRPlate2,TBC03#1003242172,B4,TargetPlate,B2,5
PCRPlate2,TBC03#1003242172,C4,TargetPlate,C2,5
PCRPlate2,TBC03#1003242172,D4,TargetPlate,D2,5
